目标曲名	页面标题	页面id	判定	类型	本地目录
终身美丽	真心英雄（ukulele四线谱）	221786	不同歌✗	简谱(疑似可转写)	qupu123-mp008/真心英雄（ukulele四线谱）__qupu123-221786
终身美丽	真心英雄（李宗盛词曲）	232814	不同歌✗	简谱(疑似可转写)	qupu123-mp008/真心英雄（李宗盛词曲）__qupu123-232814
终身美丽	真心英雄（纳兰临风 词曲）	332339	不同歌✗	简谱(疑似可转写)	qupu123-mp008/真心英雄（纳兰临风 词曲）__qupu123-332339
终身美丽	真心英雄（陶明翠词 纳兰临风曲）	332020	不同歌✗	简谱(疑似可转写)	qupu123-mp008/真心英雄（陶明翠词 纳兰临风曲）__qupu123-332020
留住我吧	红豆	381945	不同歌✗	简谱(疑似可转写)	qupu123-mp010/红豆__qupu123-381945
留住我吧	红豆（史光柱词曲）	41428	不同歌✗	简谱(疑似可转写)	qupu123-mp010/红豆（史光柱词曲）__qupu123-41428
留住我吧	红豆（简和谱）	339811	不同歌✗	改编/器乐	qupu123-mp010/红豆（简和谱）__qupu123-339811
恋爱症候群	匆匆那年（五线谱）	337480	不同歌✗	改编/器乐	qupu123-mp011/匆匆那年（五线谱）__qupu123-337480
恋爱症候群	匆匆那年（同名电影主题曲）	196329	不同歌✗	简谱(疑似可转写)	qupu123-mp011/匆匆那年（同名电影主题曲）__qupu123-196329
恋爱症候群	匆匆那年（林夕词 梁翘柏曲）	261979	不同歌✗	简谱(疑似可转写)	qupu123-mp011/匆匆那年（林夕词 梁翘柏曲）__qupu123-261979
恋爱症候群	匆匆那年（男生版、ukulele四线谱）	209128	不同歌✗	简谱(疑似可转写)	qupu123-mp011/匆匆那年（男生版、ukulele四线谱）__qupu123-209128
情义两心坚	一起走过的日子	339585	不同歌✗	简谱(疑似可转写)	qupu123-mp012/一起走过的日子__qupu123-339585
情义两心坚	一起走过的日子（刘德华现场版）	364116	不同歌✗	简谱(疑似可转写)	qupu123-mp012/一起走过的日子（刘德华现场版）__qupu123-364116
情义两心坚	一起走过的日子（小美词 胡伟立曲）	14600	不同歌✗	简谱(疑似可转写)	qupu123-mp012/一起走过的日子（小美词 胡伟立曲）__qupu123-14600
情义两心坚	一起走过的日子（梦之旅组合）	377266	不同歌✗	简谱(疑似可转写)	qupu123-mp012/一起走过的日子（梦之旅组合）__qupu123-377266
恼人的秋风	真的爱你（Beyond）	346969	不同歌✗	简谱(疑似可转写)	qupu123-mp013/真的爱你（Beyond）__qupu123-346969
恼人的秋风	真的爱你（Beyond）	358376	不同歌✗	简谱(疑似可转写)	qupu123-mp013/真的爱你（Beyond）__qupu123-358376
恼人的秋风	真的爱你（简和谱）	339795	不同歌✗	改编/器乐	qupu123-mp013/真的爱你（简和谱）__qupu123-339795
恼人的秋风	真的爱你（钢琴谱）	354343	不同歌✗	改编/器乐	qupu123-mp013/真的爱你（钢琴谱）__qupu123-354343
忘尽心中情	星星点灯	276361	不同歌✗	简谱(疑似可转写)	qupu123-mp015/星星点灯__qupu123-276361
忘尽心中情	星星点灯	354460	不同歌✗	简谱(疑似可转写)	qupu123-mp015/星星点灯__qupu123-354460
忘尽心中情	星星点灯	382115	不同歌✗	简谱(疑似可转写)	qupu123-mp015/星星点灯__qupu123-382115
忘尽心中情	星星点灯（乐队总谱）	346996	不同歌✗	改编/器乐	qupu123-mp015/星星点灯（乐队总谱）__qupu123-346996
唯一	游戏人间（连续剧《海马歌舞厅》主题曲）	298193	不同歌✗	简谱(疑似可转写)	qupu123-mp018/游戏人间（连续剧《海马歌舞厅》主题曲）__qupu123-298193
特别的人	别哭我最爱的人	200299	不同歌✗	简谱(疑似可转写)	qupu123-mp019/别哭我最爱的人__qupu123-200299
春娇与志明	外面的世界	1752	不同歌✗	简谱(疑似可转写)	qupu123-mp020/外面的世界__qupu123-1752
春娇与志明	外面的世界（吉他谱）	240691	不同歌✗	改编/器乐	qupu123-mp020/外面的世界（吉他谱）__qupu123-240691
春娇与志明	外面的世界（吉他谱）	69334	不同歌✗	改编/器乐	qupu123-mp020/外面的世界（吉他谱）__qupu123-69334
春娇与志明	外面的世界（带和弦）	53933	不同歌✗	改编/器乐	qupu123-mp020/外面的世界（带和弦）__qupu123-53933
搁浅	夜夜夜夜熬（(DJ版)-张鑫雨）	384128	不同歌✗	简谱(疑似可转写)	qupu123-mp021/夜夜夜夜熬（(DJ版)-张鑫雨）__qupu123-384128
搁浅	夜夜夜夜（吉他谱）	69330	不同歌✗	改编/器乐	qupu123-mp021/夜夜夜夜（吉他谱）__qupu123-69330
搁浅	夜夜夜夜（熊天平词曲、正谱）	327888	不同歌✗	改编/器乐	qupu123-mp021/夜夜夜夜（熊天平词曲、正谱）__qupu123-327888
兰亭序	【日】幸せ（《伤心太平洋》原曲）	318614	不同歌✗	简谱(疑似可转写)	qupu123-mp023/【日】幸せ（《伤心太平洋》原曲）__qupu123-318614
兰亭序	伤心太平洋	384524	不同歌✗	简谱(疑似可转写)	qupu123-mp023/伤心太平洋__qupu123-384524
兰亭序	伤心太平洋（电视剧《新神雕侠侣》片尾曲）	1758	不同歌✗	简谱(疑似可转写)	qupu123-mp023/伤心太平洋（电视剧《新神雕侠侣》片尾曲）__qupu123-1758
兰亭序	伤心太平洋（简和谱）	349371	不同歌✗	改编/器乐	qupu123-mp023/伤心太平洋（简和谱）__qupu123-349371
明明就	浪花一朵朵	84347	不同歌✗	简谱(疑似可转写)	qupu123-mp024/浪花一朵朵__qupu123-84347
一路向北	我是一只鱼 吉他谱（无限延音编配）	372053	不同歌✗	改编/器乐	qupu123-mp025/我是一只鱼 吉他谱（无限延音编配）__qupu123-372053
说了再见	一天天想你（电视剧《难舍真情》片尾主题歌）	71276	不同歌✗	简谱(疑似可转写)	qupu123-mp026/一天天想你（电视剧《难舍真情》片尾主题歌）__qupu123-71276
说了再见	天天想你（全芳词 株株曲）	302417	不同歌✗	简谱(疑似可转写)	qupu123-mp026/天天想你（全芳词 株株曲）__qupu123-302417
说了再见	天天想你（吉他六线谱）	29752	不同歌✗	改编/器乐	qupu123-mp026/天天想你（吉他六线谱）__qupu123-29752
说了再见	天天想你（陈乐融词 陈志远曲）	5673	不同歌✗	简谱(疑似可转写)	qupu123-mp026/天天想你（陈乐融词 陈志远曲）__qupu123-5673
天地龙鳞	谁明浪子心（带和弦）	293223	不同歌✗	改编/器乐	qupu123-mp027/谁明浪子心（带和弦）__qupu123-293223
小三对白	青苹果乐园	14113	不同歌✗	简谱(疑似可转写)	qupu123-mp028/青苹果乐园__qupu123-14113
小三对白	青苹果乐园	783	不同歌✗	简谱(疑似可转写)	qupu123-mp028/青苹果乐园__qupu123-783
句号	蝴蝶飞呀飞	38240	不同歌✗	简谱(疑似可转写)	qupu123-mp029/蝴蝶飞呀飞__qupu123-38240
暮色回响	红蜻蜓	344590	不同歌✗	简谱(疑似可转写)	qupu123-mp030/红蜻蜓__qupu123-344590
暮色回响	红蜻蜓	371392	不同歌✗	简谱(疑似可转写)	qupu123-mp030/红蜻蜓__qupu123-371392
暮色回响	红蜻蜓（二部合唱）	103667	不同歌✗	简谱(疑似可转写)	qupu123-mp030/红蜻蜓（二部合唱）__qupu123-103667
暮色回响	红蜻蜓（梦之旅组合）	375660	不同歌✗	简谱(疑似可转写)	qupu123-mp030/红蜻蜓（梦之旅组合）__qupu123-375660
就是哪吒	听说爱情回来过（吉他谱）	69328	不同歌✗	改编/器乐	qupu123-mp031/听说爱情回来过（吉他谱）__qupu123-69328
反方向的钟	征服吉他谱六线谱（袁惟仁）	69368	不同歌✗	改编/器乐	qupu123-mp032/征服吉他谱六线谱（袁惟仁）__qupu123-69368
反方向的钟	征服天堂	373701	不同歌✗	简谱(疑似可转写)	qupu123-mp032/征服天堂__qupu123-373701
反方向的钟	征服（ukulele四线谱）	212202	不同歌✗	简谱(疑似可转写)	qupu123-mp032/征服（ukulele四线谱）__qupu123-212202
反方向的钟	把命运征服	312119	不同歌✗	简谱(疑似可转写)	qupu123-mp032/把命运征服__qupu123-312119
退后	山不转水转	270529	不同歌✗	简谱(疑似可转写)	qupu123-mp033/山不转水转__qupu123-270529
退后	山不转水转（乐队总谱）	361314	不同歌✗	改编/器乐	qupu123-mp033/山不转水转（乐队总谱）__qupu123-361314
退后	山不转水转（梦之旅组合）	376076	不同歌✗	简谱(疑似可转写)	qupu123-mp033/山不转水转（梦之旅组合）__qupu123-376076
退后	山不转水转（葫芦丝旋律谱）	307334	不同歌✗	简谱(疑似可转写)	qupu123-mp033/山不转水转（葫芦丝旋律谱）__qupu123-307334
凄美地	一笑而过解千愁（刘兰芳词 一只舟曲）	207843	不同歌✗	简谱(疑似可转写)	qupu123-mp034/一笑而过解千愁（刘兰芳词 一只舟曲）__qupu123-207843
凄美地	顺境逆境一笑而过	383021	不同歌✗	简谱(疑似可转写)	qupu123-mp034/顺境逆境一笑而过__qupu123-383021
还是分开	花房姑娘	350703	不同歌✗	简谱(疑似可转写)	qupu123-mp036/花房姑娘__qupu123-350703
还是分开	花房姑娘（乐队总谱）	363088	不同歌✗	改编/器乐	qupu123-mp036/花房姑娘（乐队总谱）__qupu123-363088
还是分开	花房姑娘（吉他六线谱、简单吉他编配版）	233284	不同歌✗	改编/器乐	qupu123-mp036/花房姑娘（吉他六线谱、简单吉他编配版）__qupu123-233284
还是分开	花房姑娘（简谱）	362266	不同歌✗	简谱(疑似可转写)	qupu123-mp036/花房姑娘（简谱）__qupu123-362266
虚拟	无地自容（乐队总谱）	361857	不同歌✗	改编/器乐	qupu123-mp038/无地自容（乐队总谱）__qupu123-361857
推开世界的门	梦回唐朝（唐朝乐队 词曲）	107400	不同歌✗	改编/器乐	qupu123-mp039/梦回唐朝（唐朝乐队 词曲）__qupu123-107400
借过一下	愿你飞得更高	276532	不同歌✗	简谱(疑似可转写)	qupu123-mp040/愿你飞得更高__qupu123-276532
借过一下	飞得更高（刘继锋词 张世民曲）	189202	不同歌✗	简谱(疑似可转写)	qupu123-mp040/飞得更高（刘继锋词 张世民曲）__qupu123-189202
借过一下	飞得更高（吉他六线谱）	291049	不同歌✗	改编/器乐	qupu123-mp040/飞得更高（吉他六线谱）__qupu123-291049
借过一下	飞得更高（山西省蒲县鸿桥中学校歌）	210872	不同歌✗	简谱(疑似可转写)	qupu123-mp040/飞得更高（山西省蒲县鸿桥中学校歌）__qupu123-210872
缝合	白桦林	293165	不同歌✗	简谱(疑似可转写)	qupu123-mp041/白桦林__qupu123-293165
缝合	白桦林	331468	不同歌✗	简谱(疑似可转写)	qupu123-mp041/白桦林__qupu123-331468
缝合	白桦林（吉他谱）	240647	不同歌✗	改编/器乐	qupu123-mp041/白桦林（吉他谱）__qupu123-240647
缝合	白桦林（王彦霖）	330774	不同歌✗	简谱(疑似可转写)	qupu123-mp041/白桦林（王彦霖）__qupu123-330774
写在星星上	我怀念的（吉他六线谱）	265868	不同歌✗	改编/器乐	qupu123-mp043/我怀念的（吉他六线谱）__qupu123-265868
写在星星上	我怀念的（韩剧《绿蔷薇》片头曲、编配乐谱）	34766	不同歌✗	改编/器乐	qupu123-mp043/我怀念的（韩剧《绿蔷薇》片头曲、编配乐谱）__qupu123-34766
写在星星上	故乡啊，我怀念的天堂	66974	不同歌✗	简谱(疑似可转写)	qupu123-mp043/故乡啊，我怀念的天堂__qupu123-66974
瘦子	不想长大（编配乐谱）	35065	不同歌✗	改编/器乐	qupu123-mp045/不想长大（编配乐谱）__qupu123-35065
