类别	文件A	曲名A	标签A	文件B	曲名B	标签B	公共音数	覆盖率(较短)	长度A	长度B	建议
共用曲调/改编	丢手绢.txt	丢手绢	分类/记谱|分类/记谱	儿歌联唱2.txt	儿歌联唱2	分类/儿歌|分类/儿歌	28	0.78	36	344	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	丑小鸭钢琴.txt	丑小鸭钢琴	分类/钢琴谱|分类/儿歌|分类/钢琴谱|分类/儿歌	丑小鸭钢琴_2.txt	丑小鸭钢琴	分类/钢琴谱|分类/儿歌|儿歌|分类/钢琴谱|分类/儿歌|儿歌	190	0.78	245	247	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	九儿.txt	九儿	分类/儿歌|胡莎莎|儿歌|分类/儿歌|胡莎莎|儿歌	红高粱.txt	红高粱	韩红|韩红	117	0.75	163	155	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	九儿.txt	九儿	分类/儿歌|胡莎莎|儿歌|分类/儿歌|胡莎莎|儿歌	红高粱片尾主题曲-红高粱.txt	红高粱片尾主题曲-红高粱	韩红|分类/影视|韩红|分类/影视	117	0.75	163	155	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	爱慕.txt	爱慕	邓丽君|邓丽君	邓丽君_90.txt	爱慕	邓丽君|邓丽君	49	0.75	150	65	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	梦逍遥.txt	梦逍遥	降央卓玛|降央卓玛	梦逍遥_神仙姐姐记谱.txt	梦逍遥 神仙姐姐记谱	降央卓玛|降央卓玛	214	0.75	287	288	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	恶狼传说.txt	恶狼传说	张学友|张学友	饿狼传说.txt	饿狼传说	张学友|张学友	52	0.74	70	147	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	无字碑.txt	无字碑	张靓颖|张靓颖	无字碑_2.txt	无字碑	张靓颖|张靓颖	176	0.73	242	242	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	世上只有妈妈好.txt	世上只有妈妈好	分类/儿歌|分类/儿歌	世上只有妈妈好_3.txt	世上只有妈妈好	分类/儿歌|儿歌|分类/儿歌|儿歌	135	0.73	186	187	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	世上只有妈妈好_2.txt	世上只有妈妈好	分类/儿歌|儿歌|分类/儿歌|儿歌	世上只有妈妈好_3.txt	世上只有妈妈好	分类/儿歌|儿歌|分类/儿歌|儿歌	135	0.72	188	187	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	海风.txt	海风	邓丽君|邓丽君	邓丽君_87.txt	海风	邓丽君|邓丽君	87	0.72	287	121	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	珊瑚颂.txt	珊瑚颂	分类/通俗歌曲|分类/通俗歌曲	珊瑚颂G调伴奏.txt	珊瑚颂G调伴奏	韩红|韩红	140	0.71	288	198	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	《知道》.txt	《知道》	宋祖英|宋祖英	知道.txt	知道	宋祖英|宋祖英	79	0.69	115	114	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	草原的歌唱给草原听.txt	草原的歌唱给草原听	分类/草原|分类/草原	草原的歌唱给草原听_3.txt	草原的歌唱给草原听	分类/草原|分类/草原	168	0.69	248	244	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	草原的歌唱给草原听_2.txt	草原的歌唱给草原听	分类/草原|草原|分类/草原|草原	草原的歌唱给草原听_3.txt	草原的歌唱给草原听	分类/草原|分类/草原	168	0.69	250	244	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	玲之路.txt	玲之路	韩红|韩红	铃之路.txt	铃之路	韩红|韩红	97	0.69	141	141	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	诗的草原，画的草原.txt	诗的草原，画的草原	分类/草原|草原|分类/草原|草原	诗的草原，画的草原_2.txt	诗的草原，画的草原	分类/草原|分类/草原	96	0.68	142	143	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	康定情歌.txt	康定情歌	梦之旅组合|民歌|梦之旅组合|民歌	民族声乐考级歌曲：康定情歌.txt	民族声乐考级歌曲：康定情歌	民歌|民歌	31	0.67	302	46	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	狐狸.txt	狐狸	薛之谦|薛之谦	狐狸_2.txt	狐狸	薛之谦|薛之谦	181	0.66	277	274	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	小鸭和乌鸦.txt	小鸭和乌鸦	分类/儿歌|分类/儿歌	绿叶房.txt	绿叶房	分类/儿歌|分类/儿歌	51	0.65	106	78	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	小儿语.txt	小儿语	小海龟演唱组|小海龟演唱组	小儿语_2.txt	小儿语	小海龟演唱组|小海龟|儿歌|小海龟演唱组|小海龟|儿歌	180	0.65	277	277	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	《牵手》----为新婚夫妻而作.txt	《牵手》----为新婚夫妻而作	宋祖英|宋祖英	《牵手》——为新婚夫妻而作.txt	《牵手》——为新婚夫妻而作	宋祖英|宋祖英	71	0.65	110	110	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	迟来的爱__qupu123-178033.txt	迟来的爱		迟来的爱__qupu123-379774.txt	迟来的爱		150	0.64	233	245	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	如果我有勇气.txt	如果我有勇气	邓丽君|邓丽君	如果我有勇气_2.txt	如果我有勇气	邓丽君|邓丽君	112	0.64	178	174	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	乡间小路.txt	乡间小路	分类/儿歌|儿歌|分类/儿歌|儿歌	走在乡间的小路上.txt	走在乡间的小路上	分类/葫芦丝谱|分类/葫芦丝谱	55	0.64	154	86	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	乡间的小路.txt	乡间的小路	分类/儿歌|卓依婷|儿歌|分类/儿歌|卓依婷|儿歌	走在乡间的小路上.txt	走在乡间的小路上	分类/葫芦丝谱|分类/葫芦丝谱	55	0.64	196	86	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	邓丽君_114.txt	问自己	邓丽君|邓丽君	问自己.txt	问自己	邓丽君|邓丽君	77	0.64	121	256	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	诗画中国.txt	诗画中国	许嵩|许嵩/谭维维|许嵩|许嵩/谭维维	诗画中国_2.txt	诗画中国	许嵩|许嵩/谭维维|许嵩|许嵩/谭维维	47	0.64	74	216	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	诗画中国.txt	诗画中国	许嵩|许嵩/谭维维|许嵩|许嵩/谭维维	诗画中国_3.txt	诗画中国	许嵩|许嵩	47	0.64	74	216	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	梦_2.txt	梦	邓丽君|邓丽君	邓丽君_80.txt	梦	邓丽君|邓丽君	91	0.63	144	167	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	这片黑土地.txt	这片黑土地	分类/美声|分类/美声	这片黑土地_2.txt	这片黑土地	殷秀梅|殷秀梅	132	0.63	223	210	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	美丽中华.txt	美丽中华	宋祖英|宋祖英	美丽中华_电视片_百山百川行_片尾曲.txt	美丽中华 电视片 百山百川行 片尾曲	宋祖英|分类/影视|宋祖英|分类/影视	142	0.62	229	243	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	剑指苍天.txt	剑指苍天		剑指苍天—歼10.txt	剑指苍天—歼10		75	0.60	131	125	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	乡间小路.txt	乡间小路	分类/儿歌|儿歌|分类/儿歌|儿歌	乡间的小路.txt	乡间的小路	分类/儿歌|卓依婷|儿歌|分类/儿歌|卓依婷|儿歌	90	0.58	154	196	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	英_雄.txt	英 雄	宋祖英|宋祖英	英雄_2.txt	英雄		84	0.58	202	145	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	三字经.txt	三字经	分类/儿歌|金帆合唱团|儿歌|分类/儿歌|金帆合唱团|儿歌	三字经_2.txt	三字经	分类/儿歌|儿歌|分类/儿歌|儿歌	186	0.57	324	334	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	Yesterday_Once_More_昨天再来.txt	Yesterday Once More 昨天再来	分类/外国歌曲|分类/外国歌曲	昨日重现.txt	昨日重现	分类/通俗歌曲|分类/通俗歌曲	31	0.57	54	184	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	梦草原-_新歌.txt	梦草原- 新歌	蒋大为|蒋大为	梦草原_—.txt	梦草原 —	蒋大为|蒋大为	83	0.57	146	149	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	党啊亲爱的妈妈.txt	党啊亲爱的妈妈		党啊亲爱的妈妈红歌.txt	党啊亲爱的妈妈红歌	殷秀梅|殷秀梅	101	0.56	180	187	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	就这样.txt	就这样	李荣浩|李荣浩	就这样钢琴.txt	就这样钢琴	李荣浩|分类/钢琴谱|李荣浩|分类/钢琴谱	85	0.56	157	153	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	甜蜜蜜.txt	甜蜜蜜	邓丽君|邓丽君	结识你那一天.txt	结识你那一天	邓丽君|邓丽君	28	0.55	250	51	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	邓丽君_117.txt	雪中莲	邓丽君|邓丽君	雪中莲.txt	雪中莲	邓丽君|邓丽君	57	0.55	104	115	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	初次尝到寂寞.txt	初次尝到寂寞	邓丽君|邓丽君	初次尝到寂寞_2.txt	初次尝到寂寞	邓丽君|邓丽君	63	0.54	116	121	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	我的深情为你守候.txt	我的深情为你守候	分类/美声|分类/美声	我的深情为你守候_2.txt	我的深情为你守候	分类/通俗歌曲|分类/通俗歌曲	89	0.54	222	164	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	我好像在哪见过你.txt	我好像在哪见过你	薛之谦|薛之谦	我好像在哪见过你钢琴.txt	我好像在哪见过你钢琴	薛之谦|分类/钢琴谱|薛之谦|分类/钢琴谱	108	0.54	200	202	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	稳稳的幸福.txt	稳稳的幸福		陈奕迅-稳稳的幸福.txt	陈奕迅-稳稳的幸福		91	0.54	178	169	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	夜色.txt	夜色	邓丽君|邓丽君	邓丽君_37.txt	夜色	邓丽君|邓丽君	35	0.54	171	65	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	爱.txt	爱		爱_4.txt	爱	分类/通俗歌曲|分类/通俗歌曲	85	0.53	159	163	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	芦苇花.txt	芦苇花	分类/民歌|分类/民歌	荻花伤.txt	荻花伤	分类/通俗歌曲|分类/通俗歌曲	42	0.53	79	87	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	惩罚.txt	惩罚		惩罚1.txt	惩罚1		105	0.53	200	200	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	怒放的生命.txt	怒放的生命	汪峰|汪峰	怒放的生命_—.txt	怒放的生命 —	汪峰|汪峰	67	0.52	145	129	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	原乡人.txt	原乡人	邓丽君|邓丽君	邓丽君_25.txt	原乡人	邓丽君|邓丽君	41	0.52	183	79	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	Danny_Boy（小野丽莎.txt	Danny Boy（小野丽莎		亲爱的人Danny_Boy合唱.txt	亲爱的人Danny Boy合唱	分类/合唱|分类/合唱	31	0.52	60	180	只部分重合(不是同一首的充分证据); 若确认同曲再考虑借标签: 分类/合唱/分类/合唱
共用曲调/改编	伊犁河的月夜.txt	伊犁河的月夜	杨洪基|杨洪基	民族声乐考级歌曲_伊犁河月夜.txt	民族声乐考级歌曲 伊犁河月夜	杨洪基|杨洪基	42	0.51	82	100	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	爱_2.txt	爱		爱_3.txt	爱		77	0.50	153	155	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	京华春梦.txt	京华春梦	分类/通俗歌曲|分类/通俗歌曲	追忆当日爱.txt	追忆当日爱	分类/通俗歌曲|分类/通俗歌曲	34	0.50	163	68	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	一荤一素_2.txt	一荤一素	毛不易|毛不易	一荤一素二声部合唱谱.txt	一荤一素二声部合唱谱	分类/合唱|分类/合唱	85	0.50	271	171	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	一荤一素二声部合唱谱.txt	一荤一素二声部合唱谱	分类/合唱|分类/合唱	一荤一素有声动态谱.txt	一荤一素有声动态谱	毛不易|毛不易	85	0.50	171	270	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	好久不见.txt	好久不见		好久不见_2.txt	好久不见	陈奕迅|陈奕迅	90	0.49	182	358	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	好久不见_2.txt	好久不见	陈奕迅|陈奕迅	好久不见_3.txt	好久不见	陈奕迅|陈奕迅	90	0.49	358	182	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	那时的我们.txt	那时的我们	毛不易|毛不易	那时的我们_2.txt	那时的我们	毛不易|毛不易	168	0.49	341	342	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	小丑.txt	小丑	分类/通俗歌曲|分类/通俗歌曲	深海_2.txt	深海	毛不易|毛不易	204	0.49	418	431	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	意愿.txt	意愿	刘德华|刘德华	愿意.txt	愿意	刘德华|刘德华	98	0.49	215	202	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	大白鹅（班南.txt	大白鹅（班南		泼水歌_2.txt	泼水歌	分类/儿歌|儿歌|分类/儿歌|儿歌	49	0.49	268	101	只部分重合(不是同一首的充分证据); 若确认同曲再考虑借标签: 分类/儿歌/儿歌/分类/儿歌
共用曲调/改编	粮仓满_天下安.txt	粮仓满 天下安	阎维文|阎维文	粮满仓.txt	粮满仓	阎维文|阎维文	92	0.48	258	190	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	我从草原来C调伴奏.txt	我从草原来C调伴奏	凤凰传奇|凤凰传奇	未命名-jianpujia-7077.txt	未命名-jianpujia-7077	分类/草原|分类/草原	88	0.48	183	209	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	敢问路在何方.txt	敢问路在何方	分类/美声|分类/美声	敢问路在何方历史经典.txt	敢问路在何方历史经典	蒋大为|蒋大为	82	0.48	171	172	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	说句心里话.txt	说句心里话	分类/谱友上传|分类/谱友上传	说句心里话怀旧经典.txt	说句心里话怀旧经典	阎维文|阎维文	70	0.48	146	189	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	民族声乐考级歌曲_祝福祖国.txt	民族声乐考级歌曲 祝福祖国	张也|张也	祝福祖国.txt	祝福祖国	分类/通俗歌曲|分类/通俗歌曲	58	0.48	121	204	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	我从草原来——凤凰传奇.txt	我从草原来——凤凰传奇	凤凰传奇|凤凰传奇	未命名-jianpujia-7077.txt	未命名-jianpujia-7077	分类/草原|分类/草原	88	0.48	184	209	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	大路上铺满金色的阳光.txt	大路上铺满金色的阳光	蒋大为|蒋大为	大露上铺满金色的阳光.txt	大露上铺满金色的阳光	蒋大为|蒋大为	59	0.48	124	125	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	诗画中国.txt	诗画中国	许嵩|许嵩/谭维维|许嵩|许嵩/谭维维	诗画中国_4.txt	诗画中国	许嵩|谭维维|许嵩|谭维维	35	0.47	74	376	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	生日歌.txt	生日歌	分类/儿歌|儿歌|分类/儿歌|儿歌	祝你生日快乐.txt	祝你生日快乐	分类/儿歌|儿歌|分类/儿歌|儿歌	26	0.47	117	55	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	《合家欢》.txt	《合家欢》	费玉清|费玉清	合家欢-费玉清.txt	合家欢-费玉清	费玉清|费玉清	28	0.47	113	60	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	儿歌联唱1.txt	儿歌联唱1	分类/儿歌|分类/儿歌	我爱北京天安门.txt	我爱北京天安门	分类/儿歌|金铭与少儿|儿歌|分类/儿歌|金铭与少儿|儿歌	81	0.47	211	174	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	未命名-jianpujia-418203.txt	未命名-jianpujia-418203	分类/草原|分类/草原	草原雨，草原湖.txt	草原雨，草原湖	分类/草原|金磊鑫|分类/草原|金磊鑫	107	0.46	233	246	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	《_郴_州_行_》_（张_也.txt	《 郴 州 行 》 （张 也	张也|张也	郴州行.txt	郴州行	张也|张也	82	0.46	180	180	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	草原湖，草原雨独唱歌曲.txt	草原湖，草原雨独唱歌曲	分类/草原|金磊鑫|草原|分类/草原|金磊鑫|草原	草原雨，草原湖.txt	草原雨，草原湖	分类/草原|金磊鑫|分类/草原|金磊鑫	107	0.46	235	246	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	《说中国》.txt	《说中国》	蒋大为|蒋大为	说中国.txt	说中国	蒋大为|蒋大为	73	0.45	235	161	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	望_3.txt	望	韩红|韩红	望_4.txt	望	韩红|韩红	80	0.45	177	210	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	小城故事_3.txt	小城故事	邓丽君|邓丽君	小城故事_4.txt	小城故事	邓丽君|邓丽君	34	0.44	154	77	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	小城故事_2.txt	小城故事	邓丽君|怀旧经典 邓丽君|邓丽君|怀旧经典 邓丽君	小城故事_4.txt	小城故事	邓丽君|邓丽君	34	0.44	163	77	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	草原情草原风.txt	草原情草原风	分类/草原|草原|分类/草原|草原	草原风：11.草原情.txt	草原风：11.草原情	分类/草原|分类/草原	86	0.44	200	197	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	爱情接书_歌曲类.txt	爱情接书 歌曲类		爱情证书.txt	爱情证书		41	0.43	95	166	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	骏马奔驰保边疆.txt	骏马奔驰保边疆	蒋大为|蒋大为	骏马奔驰保边疆F调伴奏.txt	骏马奔驰保边疆F调伴奏	蒋大为|蒋大为	65	0.43	152	166	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	星_2.txt	星	邓丽君|邓丽君	邓丽君_72.txt	星	邓丽君|邓丽君	49	0.43	168	115	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	无问.txt	无问	毛不易|毛不易	无问_2.txt	无问	毛不易|毛不易	83	0.43	275	195	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	望.txt	望	韩红|韩红	望_3.txt	望	韩红|韩红	75	0.42	210	177	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	世界之城.txt	世界之城	宋祖英|宋祖英	北京——世界之城.txt	北京——世界之城	宋祖英|宋祖英	45	0.42	107	115	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	海风阵阵愁煞人.txt	海风阵阵愁煞人	宋祖英|宋祖英	珊瑚颂G调伴奏.txt	珊瑚颂G调伴奏	韩红|韩红	83	0.42	709	198	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	祖国啊_春常在.txt	祖国啊 春常在	李谷一|李谷一	祖国春常在.txt	祖国春常在	李谷一|李谷一	45	0.42	108	143	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	简简单单-林俊杰.txt	简简单单-林俊杰	林俊杰|林俊杰	简简单单.txt	简简单单	林俊杰|林俊杰	66	0.42	159	161	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	秋光.txt	秋光	邓丽君|邓丽君	邓丽君_98.txt	秋光	邓丽君|邓丽君	36	0.41	181	87	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	挥别.txt	挥别	邓丽君|邓丽君	邓丽君_69.txt	挥别	邓丽君|邓丽君	38	0.41	175	92	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	爱雨.txt	爱雨	邓丽君|邓丽君	邓丽君_93.txt	爱雨	邓丽君|邓丽君	35	0.41	166	85	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	家_3.txt	家		家_4.txt	家		52	0.41	128	346	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	槟城艳.txt	槟城艳	邓丽君|邓丽君	邓丽君_81.txt	槟城艳	邓丽君|邓丽君	34	0.40	213	84	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	爱_2.txt	爱		爱_4.txt	爱	分类/通俗歌曲|分类/通俗歌曲	61	0.40	153	163	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	爱.txt	爱		爱_2.txt	爱		61	0.40	159	153	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	原來你什么都不想要.txt	原來你什么都不想要		原来你什么都不想要_2.txt	原来你什么都不想要		60	0.40	151	191	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	啊，新北京.txt	啊，新北京	分类/合唱|分类/合唱	啊，新西安.txt	啊，新西安	分类/合唱|分类/合唱	87	0.40	221	220	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	小红帽.txt	小红帽	儿歌|儿歌	小红帽钢琴.txt	小红帽钢琴	分类/钢琴谱|分类/儿歌|儿歌|分类/钢琴谱|分类/儿歌|儿歌	73	0.39	205	185	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	南海姑娘.txt	南海姑娘	分类/记谱|分类/记谱	邓丽君_24.txt	南海姑娘	邓丽君|邓丽君	42	0.39	215	107	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	良夜.txt	良夜	邓丽君|邓丽君	邓丽君_101.txt	良夜	邓丽君|邓丽君	34	0.39	212	87	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	逃避行.txt	逃避行	邓丽君|邓丽君	邓丽君_107.txt	逃避行	邓丽君|邓丽君	46	0.39	213	118	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	奈何.txt	奈何	邓丽君|邓丽君	邓丽君_41.txt	奈何	邓丽君|邓丽君	43	0.39	234	111	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	惜别.txt	惜别	邓丽君|邓丽君	邓丽君_62.txt	惜别	邓丽君|邓丽君	34	0.39	242	88	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	卖报歌.txt	卖报歌	分类/儿歌|儿歌|分类/儿歌|儿歌	口琴四级曲目：卖报歌、集体舞.txt	口琴四级曲目：卖报歌、集体舞	分类/口琴谱|分类/口琴谱	41	0.38	170	107	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	心湖里起涟渏.txt	心湖里起涟渏	邓丽君|邓丽君	邓丽君_51.txt	心湖里起涟漪	分类/通俗歌曲|分类/通俗歌曲	54	0.38	144	142	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	风中有朵雨做的云_歌曲类.txt	风中有朵雨做的云 歌曲类		风中有朵雨做的云降B调不转调伴奏.txt	风中有朵雨做的云降B调不转调伴奏	孟庭苇|孟庭苇	41	0.38	109	223	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	OVER_THE_RAINBOW）.txt	OVER THE RAINBOW）		Over_the_Rainbow_飞越彩虹.txt	Over the Rainbow 飞越彩虹	分类/外国歌曲|分类/外国歌曲	24	0.38	64	72	只部分重合(不是同一首的充分证据); 若确认同曲再考虑借标签: 分类/外国歌曲/分类/外国歌曲
同名多版本	少年壮志不言愁.txt	少年壮志不言愁	刘欢|刘欢	少年壮志不言愁怀旧经典.txt	少年壮志不言愁怀旧经典	刘欢|刘欢	69	0.37	185	207	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	暗香.txt	暗香	分类/谱友上传|分类/谱友上传	暗香_2.txt	暗香		40	0.37	169	108	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	最好的来生缘.txt	最好的来生缘	刘德华|刘德华	来生缘4.txt	来生缘4	刘德华|刘德华	58	0.37	159	157	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	船歌.txt	船歌	邓丽君|邓丽君	邓丽君_100.txt	船歌	邓丽君|邓丽君	25	0.37	241	68	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	水上人.txt	水上人	邓丽君|邓丽君	邓丽君_82.txt	水上人	邓丽君|邓丽君	29	0.37	236	79	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	怒放的生命.txt	怒放的生命	汪峰|汪峰	恕放的生命.txt	恕放的生命	汪峰|汪峰	38	0.37	145	104	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	心事.txt	心事	邓丽君|邓丽君	邓丽君_50.txt	心事	邓丽君|邓丽君	42	0.37	258	115	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	你爱你_中国.txt	你爱你 中国	殷秀梅|殷秀梅	我爱你中国.txt	我爱你中国	殷秀梅|殷秀梅	94	0.36	259	258	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	情湖.txt	情湖	邓丽君|邓丽君	邓丽君_2.txt	情湖	邓丽君|邓丽君	38	0.36	245	105	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	梦草原-_新歌.txt	梦草原- 新歌	蒋大为|蒋大为	梦草原.txt	梦草原	蒋大为|蒋大为	52	0.36	146	149	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	再诉衷肠.txt	再诉衷肠	分类/谱友上传|分类/谱友上传	守望青春.txt	守望青春	分类/谱友上传|分类/谱友上传	56	0.35	159	173	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	一荤一素.txt	一荤一素		一荤一素二声部合唱谱.txt	一荤一素二声部合唱谱	分类/合唱|分类/合唱	60	0.35	276	171	只部分重合(不是同一首的充分证据); 若确认同曲再考虑借标签: 分类/合唱/分类/合唱
共用曲调/改编	【日】真夏の果実（盛夏的果实）.txt	【日】真夏の果実（盛夏的果实）		每天爱你多一些.txt	每天爱你多一些	分类/通俗歌曲|分类/通俗歌曲	34	0.35	352	97	只部分重合(不是同一首的充分证据); 若确认同曲再考虑借标签: 分类/通俗歌曲/分类/通俗歌曲
共用曲调/改编	请你别再找我.txt	请你别再找我	邓丽君|邓丽君	请你别再来找我.txt	请你别再来找我	邓丽君|邓丽君	41	0.35	117	250	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
